item_id,order_id,product_id,product_name,category,quantity,unit_price,cost_price
ITEM000001,ORD00001,PROD008,Desk Lamp,Home Decor,3,999,220
ITEM000002,ORD00002,PROD001,Wireless Earbuds,Electronics,3,1499,350
ITEM000003,ORD00002,PROD004,Backpack,Bags,3,1899,450
ITEM000004,ORD00003,PROD015,Moisturizer,Beauty,1,499,100
ITEM000005,ORD00003,PROD005,Smartwatch,Electronics,3,4999,1200
ITEM000006,ORD00003,PROD007,Notebook Set,Stationery,3,199,40
ITEM000007,ORD00004,PROD002,Running Shoes,Footwear,3,2999,600
ITEM000008,ORD00004,PROD009,Water Bottle,Sports,1,399,80
ITEM000009,ORD00004,PROD011,Bluetooth Speaker,Electronics,2,2499,580
ITEM000010,ORD00005,PROD015,Moisturizer,Beauty,2,499,100
ITEM000011,ORD00005,PROD006,Face Wash,Beauty,1,299,60
ITEM000012,ORD00006,PROD005,Smartwatch,Electronics,1,4999,1200
ITEM000013,ORD00007,PROD011,Bluetooth Speaker,Electronics,2,2499,580
ITEM000014,ORD00008,PROD006,Face Wash,Beauty,1,299,60
ITEM000015,ORD00008,PROD013,Coffee Maker,Kitchen,1,3499,850
ITEM000016,ORD00009,PROD011,Bluetooth Speaker,Electronics,3,2499,580
ITEM000017,ORD00010,PROD003,Yoga Mat,Sports,3,799,180
ITEM000018,ORD00010,PROD014,Mouse Pad,Electronics,2,249,50
ITEM000019,ORD00011,PROD011,Bluetooth Speaker,Electronics,2,2499,580
ITEM000020,ORD00011,PROD012,Casual T-Shirt,Clothing,1,599,120
ITEM000021,ORD00011,PROD004,Backpack,Bags,3,1899,450
ITEM000022,ORD00012,PROD015,Moisturizer,Beauty,2,499,100
ITEM000023,ORD00012,PROD014,Mouse Pad,Electronics,2,249,50
ITEM000024,ORD00012,PROD004,Backpack,Bags,2,1899,450
ITEM000025,ORD00012,PROD006,Face Wash,Beauty,3,299,60
ITEM000026,ORD00013,PROD014,Mouse Pad,Electronics,1,249,50
ITEM000027,ORD00013,PROD004,Backpack,Bags,3,1899,450
ITEM000028,ORD00014,PROD012,Casual T-Shirt,Clothing,1,599,120
ITEM000029,ORD00015,PROD008,Desk Lamp,Home Decor,2,999,220
ITEM000030,ORD00015,PROD009,Water Bottle,Sports,2,399,80
ITEM000031,ORD00015,PROD003,Yoga Mat,Sports,1,799,180
ITEM000032,ORD00016,PROD009,Water Bottle,Sports,2,399,80
ITEM000033,ORD00016,PROD006,Face Wash,Beauty,1,299,60
ITEM000034,ORD00016,PROD004,Backpack,Bags,3,1899,450
ITEM000035,ORD00016,PROD007,Notebook Set,Stationery,3,199,40
ITEM000036,ORD00017,PROD001,Wireless Earbuds,Electronics,3,1499,350
ITEM000037,ORD00017,PROD005,Smartwatch,Electronics,2,4999,1200
ITEM000038,ORD00018,PROD015,Moisturizer,Beauty,3,499,100
ITEM000039,ORD00019,PROD002,Running Shoes,Footwear,3,2999,600
ITEM000040,ORD00019,PROD013,Coffee Maker,Kitchen,3,3499,850
ITEM000041,ORD00019,PROD005,Smartwatch,Electronics,2,4999,1200
ITEM000042,ORD00019,PROD004,Backpack,Bags,1,1899,450
ITEM000043,ORD00020,PROD011,Bluetooth Speaker,Electronics,2,2499,580
ITEM000044,ORD00021,PROD004,Backpack,Bags,2,1899,450
ITEM000045,ORD00021,PROD010,Sunglasses,Accessories,1,1299,300
ITEM000046,ORD00021,PROD007,Notebook Set,Stationery,3,199,40
ITEM000047,ORD00022,PROD007,Notebook Set,Stationery,2,199,40
ITEM000048,ORD00023,PROD013,Coffee Maker,Kitchen,3,3499,850
ITEM000049,ORD00023,PROD002,Running Shoes,Footwear,3,2999,600
ITEM000050,ORD00023,PROD006,Face Wash,Beauty,2,299,60
ITEM000051,ORD00024,PROD009,Water Bottle,Sports,3,399,80
ITEM000052,ORD00024,PROD006,Face Wash,Beauty,2,299,60
ITEM000053,ORD00024,PROD011,Bluetooth Speaker,Electronics,3,2499,580
ITEM000054,ORD00025,PROD012,Casual T-Shirt,Clothing,1,599,120
ITEM000055,ORD00026,PROD006,Face Wash,Beauty,2,299,60
ITEM000056,ORD00027,PROD005,Smartwatch,Electronics,2,4999,1200
ITEM000057,ORD00027,PROD006,Face Wash,Beauty,2,299,60
ITEM000058,ORD00028,PROD015,Moisturizer,Beauty,2,499,100
ITEM000059,ORD00028,PROD007,Notebook Set,Stationery,3,199,40
ITEM000060,ORD00028,PROD012,Casual T-Shirt,Clothing,2,599,120
ITEM000061,ORD00028,PROD008,Desk Lamp,Home Decor,2,999,220
ITEM000062,ORD00029,PROD013,Coffee Maker,Kitchen,3,3499,850
ITEM000063,ORD00029,PROD002,Running Shoes,Footwear,2,2999,600
ITEM000064,ORD00029,PROD012,Casual T-Shirt,Clothing,2,599,120
ITEM000065,ORD00030,PROD011,Bluetooth Speaker,Electronics,3,2499,580
ITEM000066,ORD00030,PROD005,Smartwatch,Electronics,2,4999,1200
ITEM000067,ORD00030,PROD014,Mouse Pad,Electronics,2,249,50
ITEM000068,ORD00031,PROD010,Sunglasses,Accessories,1,1299,300
ITEM000069,ORD00031,PROD007,Notebook Set,Stationery,3,199,40
ITEM000070,ORD00031,PROD005,Smartwatch,Electronics,3,4999,1200
ITEM000071,ORD00032,PROD001,Wireless Earbuds,Electronics,1,1499,350
ITEM000072,ORD00032,PROD003,Yoga Mat,Sports,1,799,180
ITEM000073,ORD00033,PROD006,Face Wash,Beauty,2,299,60
ITEM000074,ORD00033,PROD007,Notebook Set,Stationery,2,199,40
ITEM000075,ORD00033,PROD010,Sunglasses,Accessories,2,1299,300
ITEM000076,ORD00034,PROD009,Water Bottle,Sports,1,399,80
ITEM000077,ORD00034,PROD006,Face Wash,Beauty,1,299,60
ITEM000078,ORD00035,PROD009,Water Bottle,Sports,1,399,80
ITEM000079,ORD00035,PROD007,Notebook Set,Stationery,3,199,40
ITEM000080,ORD00035,PROD015,Moisturizer,Beauty,2,499,100
ITEM000081,ORD00035,PROD002,Running Shoes,Footwear,3,2999,600
ITEM000082,ORD00036,PROD002,Running Shoes,Footwear,2,2999,600
ITEM000083,ORD00036,PROD003,Yoga Mat,Sports,1,799,180
ITEM000084,ORD00037,PROD011,Bluetooth Speaker,Electronics,1,2499,580
ITEM000085,ORD00037,PROD006,Face Wash,Beauty,3,299,60
ITEM000086,ORD00037,PROD012,Casual T-Shirt,Clothing,3,599,120
ITEM000087,ORD00038,PROD013,Coffee Maker,Kitchen,1,3499,850
ITEM000088,ORD00038,PROD006,Face Wash,Beauty,1,299,60
ITEM000089,ORD00039,PROD006,Face Wash,Beauty,1,299,60
ITEM000090,ORD00040,PROD005,Smartwatch,Electronics,3,4999,1200
ITEM000091,ORD00041,PROD003,Yoga Mat,Sports,2,799,180
ITEM000092,ORD00042,PROD003,Yoga Mat,Sports,2,799,180
ITEM000093,ORD00042,PROD014,Mouse Pad,Electronics,3,249,50
ITEM000094,ORD00042,PROD013,Coffee Maker,Kitchen,1,3499,850
ITEM000095,ORD00043,PROD005,Smartwatch,Electronics,2,4999,1200
ITEM000096,ORD00043,PROD003,Yoga Mat,Sports,3,799,180
ITEM000097,ORD00044,PROD005,Smartwatch,Electronics,1,4999,1200
ITEM000098,ORD00045,PROD009,Water Bottle,Sports,1,399,80
ITEM000099,ORD00046,PROD014,Mouse Pad,Electronics,3,249,50
ITEM000100,ORD00046,PROD010,Sunglasses,Accessories,3,1299,300
ITEM000101,ORD00046,PROD001,Wireless Earbuds,Electronics,2,1499,350
ITEM000102,ORD00047,PROD010,Sunglasses,Accessories,2,1299,300
ITEM000103,ORD00047,PROD011,Bluetooth Speaker,Electronics,2,2499,580
ITEM000104,ORD00047,PROD001,Wireless Earbuds,Electronics,1,1499,350
ITEM000105,ORD00047,PROD008,Desk Lamp,Home Decor,3,999,220
ITEM000106,ORD00048,PROD002,Running Shoes,Footwear,2,2999,600
ITEM000107,ORD00048,PROD012,Casual T-Shirt,Clothing,3,599,120
ITEM000108,ORD00048,PROD001,Wireless Earbuds,Electronics,1,1499,350
ITEM000109,ORD00048,PROD003,Yoga Mat,Sports,2,799,180
ITEM000110,ORD00049,PROD007,Notebook Set,Stationery,1,199,40
ITEM000111,ORD00049,PROD003,Yoga Mat,Sports,2,799,180
ITEM000112,ORD00049,PROD013,Coffee Maker,Kitchen,1,3499,850
ITEM000113,ORD00050,PROD003,Yoga Mat,Sports,2,799,180
ITEM000114,ORD00050,PROD002,Running Shoes,Footwear,1,2999,600
ITEM000115,ORD00051,PROD015,Moisturizer,Beauty,3,499,100
ITEM000116,ORD00051,PROD010,Sunglasses,Accessories,2,1299,300
ITEM000117,ORD00051,PROD012,Casual T-Shirt,Clothing,2,599,120
ITEM000118,ORD00052,PROD001,Wireless Earbuds,Electronics,2,1499,350
ITEM000119,ORD00052,PROD002,Running Shoes,Footwear,1,2999,600
ITEM000120,ORD00052,PROD007,Notebook Set,Stationery,1,199,40
ITEM000121,ORD00052,PROD009,Water Bottle,Sports,2,399,80
ITEM000122,ORD00053,PROD005,Smartwatch,Electronics,2,4999,1200
ITEM000123,ORD00053,PROD009,Water Bottle,Sports,2,399,80
ITEM000124,ORD00053,PROD001,Wireless Earbuds,Electronics,2,1499,350
ITEM000125,ORD00053,PROD002,Running Shoes,Footwear,1,2999,600
ITEM000126,ORD00054,PROD006,Face Wash,Beauty,3,299,60
ITEM000127,ORD00054,PROD009,Water Bottle,Sports,2,399,80
ITEM000128,ORD00055,PROD003,Yoga Mat,Sports,3,799,180
ITEM000129,ORD00056,PROD004,Backpack,Bags,1,1899,450
ITEM000130,ORD00056,PROD010,Sunglasses,Accessories,1,1299,300
ITEM000131,ORD00057,PROD009,Water Bottle,Sports,2,399,80
ITEM000132,ORD00057,PROD008,Desk Lamp,Home Decor,1,999,220
ITEM000133,ORD00057,PROD003,Yoga Mat,Sports,2,799,180
ITEM000134,ORD00057,PROD010,Sunglasses,Accessories,3,1299,300
ITEM000135,ORD00058,PROD009,Water Bottle,Sports,2,399,80
ITEM000136,ORD00058,PROD014,Mouse Pad,Electronics,1,249,50
ITEM000137,ORD00058,PROD015,Moisturizer,Beauty,2,499,100
ITEM000138,ORD00059,PROD007,Notebook Set,Stationery,3,199,40
ITEM000139,ORD00060,PROD005,Smartwatch,Electronics,2,4999,1200
ITEM000140,ORD00060,PROD011,Bluetooth Speaker,Electronics,1,2499,580
ITEM000141,ORD00060,PROD013,Coffee Maker,Kitchen,3,3499,850
ITEM000142,ORD00060,PROD010,Sunglasses,Accessories,3,1299,300
ITEM000143,ORD00061,PROD003,Yoga Mat,Sports,1,799,180
ITEM000144,ORD00061,PROD014,Mouse Pad,Electronics,1,249,50
ITEM000145,ORD00061,PROD011,Bluetooth Speaker,Electronics,2,2499,580
ITEM000146,ORD00061,PROD004,Backpack,Bags,2,1899,450
ITEM000147,ORD00062,PROD012,Casual T-Shirt,Clothing,3,599,120
ITEM000148,ORD00062,PROD004,Backpack,Bags,1,1899,450
ITEM000149,ORD00062,PROD007,Notebook Set,Stationery,3,199,40
ITEM000150,ORD00062,PROD009,Water Bottle,Sports,1,399,80
ITEM000151,ORD00063,PROD011,Bluetooth Speaker,Electronics,3,2499,580
ITEM000152,ORD00063,PROD008,Desk Lamp,Home Decor,2,999,220
ITEM000153,ORD00063,PROD009,Water Bottle,Sports,3,399,80
ITEM000154,ORD00064,PROD010,Sunglasses,Accessories,1,1299,300
ITEM000155,ORD00064,PROD008,Desk Lamp,Home Decor,2,999,220
ITEM000156,ORD00064,PROD004,Backpack,Bags,2,1899,450
ITEM000157,ORD00065,PROD006,Face Wash,Beauty,2,299,60
ITEM000158,ORD00065,PROD008,Desk Lamp,Home Decor,1,999,220
ITEM000159,ORD00065,PROD015,Moisturizer,Beauty,3,499,100
ITEM000160,ORD00065,PROD009,Water Bottle,Sports,3,399,80
ITEM000161,ORD00066,PROD014,Mouse Pad,Electronics,1,249,50
ITEM000162,ORD00066,PROD006,Face Wash,Beauty,2,299,60
ITEM000163,ORD00066,PROD013,Coffee Maker,Kitchen,2,3499,850
ITEM000164,ORD00066,PROD003,Yoga Mat,Sports,3,799,180
ITEM000165,ORD00067,PROD004,Backpack,Bags,2,1899,450
ITEM000166,ORD00067,PROD014,Mouse Pad,Electronics,1,249,50
ITEM000167,ORD00068,PROD004,Backpack,Bags,1,1899,450
ITEM000168,ORD00068,PROD001,Wireless Earbuds,Electronics,1,1499,350
ITEM000169,ORD00069,PROD012,Casual T-Shirt,Clothing,1,599,120
ITEM000170,ORD00069,PROD008,Desk Lamp,Home Decor,2,999,220
ITEM000171,ORD00069,PROD002,Running Shoes,Footwear,3,2999,600
ITEM000172,ORD00070,PROD011,Bluetooth Speaker,Electronics,3,2499,580
ITEM000173,ORD00070,PROD004,Backpack,Bags,3,1899,450
ITEM000174,ORD00070,PROD013,Coffee Maker,Kitchen,1,3499,850
ITEM000175,ORD00070,PROD005,Smartwatch,Electronics,3,4999,1200
ITEM000176,ORD00071,PROD007,Notebook Set,Stationery,2,199,40
ITEM000177,ORD00071,PROD014,Mouse Pad,Electronics,1,249,50
ITEM000178,ORD00072,PROD001,Wireless Earbuds,Electronics,2,1499,350
ITEM000179,ORD00073,PROD015,Moisturizer,Beauty,1,499,100
ITEM000180,ORD00073,PROD003,Yoga Mat,Sports,3,799,180
ITEM000181,ORD00073,PROD009,Water Bottle,Sports,2,399,80
ITEM000182,ORD00073,PROD008,Desk Lamp,Home Decor,3,999,220
ITEM000183,ORD00074,PROD012,Casual T-Shirt,Clothing,1,599,120
ITEM000184,ORD00075,PROD014,Mouse Pad,Electronics,1,249,50
ITEM000185,ORD00075,PROD007,Notebook Set,Stationery,2,199,40
ITEM000186,ORD00075,PROD009,Water Bottle,Sports,2,399,80
ITEM000187,ORD00075,PROD006,Face Wash,Beauty,1,299,60
ITEM000188,ORD00076,PROD004,Backpack,Bags,3,1899,450
ITEM000189,ORD00076,PROD008,Desk Lamp,Home Decor,1,999,220
ITEM000190,ORD00076,PROD013,Coffee Maker,Kitchen,2,3499,850
ITEM000191,ORD00076,PROD005,Smartwatch,Electronics,3,4999,1200
ITEM000192,ORD00077,PROD001,Wireless Earbuds,Electronics,3,1499,350
ITEM000193,ORD00077,PROD011,Bluetooth Speaker,Electronics,3,2499,580
ITEM000194,ORD00078,PROD012,Casual T-Shirt,Clothing,1,599,120
ITEM000195,ORD00078,PROD002,Running Shoes,Footwear,1,2999,600
ITEM000196,ORD00078,PROD011,Bluetooth Speaker,Electronics,1,2499,580
ITEM000197,ORD00079,PROD012,Casual T-Shirt,Clothing,3,599,120
ITEM000198,ORD00079,PROD010,Sunglasses,Accessories,1,1299,300
ITEM000199,ORD00079,PROD006,Face Wash,Beauty,1,299,60
