order_id,customer_id,order_date,channel,status,city,discount_pct
ORD00001,CUST0257,2022-06-04,Organic,Cancelled,Chennai,0
ORD00002,CUST0044,2023-06-01,Email,Processing,Delhi,10
ORD00003,CUST0082,2023-01-08,Paid Search,Delivered,Hyderabad,10
ORD00004,CUST0172,2022-03-09,Paid Search,Delivered,Kolkata,15
ORD00005,CUST0042,2023-08-20,Paid Search,Delivered,Delhi,15
ORD00006,CUST0305,2023-12-27,Social Media,Delivered,Chennai,0
ORD00007,CUST0344,2023-12-21,Social Media,Delivered,Hyderabad,0
ORD00008,CUST0159,2022-07-04,Paid Search,Delivered,Ahmedabad,0
ORD00009,CUST0152,2022-04-14,Paid Search,Returned,Ahmedabad,0
ORD00010,CUST0193,2022-06-07,Social Media,Delivered,Hyderabad,0
ORD00011,CUST0023,2023-02-25,Direct,Delivered,Delhi,15
ORD00012,CUST0123,2022-11-13,Social Media,Delivered,Hyderabad,5
ORD00013,CUST0271,2023-03-05,Email,Delivered,Hyderabad,0
ORD00014,CUST0247,2023-01-16,Email,Cancelled,Delhi,0
ORD00015,CUST0391,2022-06-14,Email,Delivered,Ahmedabad,0
ORD00016,CUST0213,2022-02-24,Direct,Delivered,Bangalore,0
ORD00017,CUST0172,2022-05-30,Direct,Delivered,Kolkata,0
ORD00018,CUST0230,2023-09-23,Organic,Delivered,Hyderabad,0
ORD00019,CUST0482,2023-09-16,Paid Search,Delivered,Kolkata,5
ORD00020,CUST0057,2023-05-27,Social Media,Delivered,Kolkata,0
ORD00021,CUST0220,2022-01-02,Organic,Delivered,Mumbai,10
ORD00022,CUST0279,2023-06-04,Direct,Delivered,Indore,5
ORD00023,CUST0130,2022-01-17,Organic,Delivered,Delhi,0
ORD00024,CUST0069,2022-02-15,Organic,Returned,Kolkata,5
ORD00025,CUST0094,2022-05-19,Email,Delivered,Indore,0
ORD00026,CUST0023,2022-07-24,Direct,Delivered,Delhi,10
ORD00027,CUST0130,2022-02-07,Direct,Delivered,Delhi,15
ORD00028,CUST0064,2023-01-12,Direct,Delivered,Kolkata,0
ORD00029,CUST0474,2023-06-16,Paid Search,Delivered,Chennai,0
ORD00030,CUST0053,2022-03-23,Paid Search,Delivered,Hyderabad,0
ORD00031,CUST0229,2022-02-13,Social Media,Returned,Delhi,0
ORD00032,CUST0208,2023-01-08,Email,Delivered,Hyderabad,5
ORD00033,CUST0035,2022-08-30,Organic,Delivered,Ahmedabad,5
ORD00034,CUST0391,2022-03-20,Paid Search,Delivered,Ahmedabad,0
ORD00035,CUST0377,2022-07-10,Paid Search,Delivered,Mumbai,5
ORD00036,CUST0470,2023-05-18,Direct,Delivered,Pune,15
ORD00037,CUST0415,2023-11-30,Organic,Delivered,Kolkata,0
ORD00038,CUST0475,2023-12-19,Social Media,Delivered,Pune,0
ORD00039,CUST0405,2023-05-21,Social Media,Delivered,Bangalore,10
ORD00040,CUST0314,2022-03-30,Paid Search,Delivered,Jaipur,5
ORD00041,CUST0211,2023-02-24,Direct,Delivered,Jaipur,5
ORD00042,CUST0349,2023-06-14,Social Media,Delivered,Chennai,0
